variable,group
shift_croplands.change_polygon_tr_Europe,19
shift_croplands.change_polygon_tr_Southern_Asia,19
shift_croplands.change_polygon_tr_South_America,19
shift_croplands.change_polygon_tr_Northern_America,19
shift_croplands.change_polygon_tr_Africa,19
shift_croplands.change_polygon_tr_South-Eastern_Asia,19
shift_croplands.change_polygon_tr_Arab,19
shift_croplands.change_polygon_tr_Asia,19
shift_croplands.change_polygon_tr_Central_America,19
shift_croplands.change_polygon_tr_Australia_and_New_Zealand,19
shift_pasture.change_polygon_tr_Western_Africa,21
shift_pasture.change_polygon_tr_Oceania,21
shift_pasture.change_polygon_tr_Europe,21
shift_pasture.change_polygon_tr_Southern_Asia,21
shift_pasture.change_polygon_tr_South_America,21
shift_pasture.change_polygon_tr_Northern_America,21
shift_pasture.change_polygon_tr_Africa,21
shift_pasture.change_polygon_tr_South-Eastern_Asia,21
shift_pasture.change_polygon_tr_Arab,21
shift_pasture.change_polygon_tr_Asia,21
shift_pasture.change_polygon_tr_Central_America,21
shift_pasture.change_polygon_tr_Australia_and_New_Zealand,21
shift_pop.density.change_polygon_tr_Western_Africa,19
shift_pop.density.change_polygon_tr_Oceania,19
shift_pop.density.change_polygon_tr_Europe,19
shift_pop.density.change_polygon_tr_Southern_Asia,19
shift_pop.density.change_polygon_tr_South_America,19
shift_pop.density.change_polygon_tr_Northern_America,19
shift_pop.density.change_polygon_tr_Africa,19
shift_pop.density.change_polygon_tr_South-Eastern_Asia,19
shift_pop.density.change_polygon_tr_Arab,19
shift_pop.density.change_polygon_tr_Asia,19
shift_pop.density.change_polygon_tr_Central_America,19
shift_pop.density.change_polygon_tr_Australia_and_New_Zealand,19
enviro_mgs_polygon_tr_Western_Africa,3
enviro_mgs_polygon_tr_Oceania,3
enviro_mgs_polygon_tr_Europe,3
enviro_mgs_polygon_tr_Southern_Asia,3
enviro_mgs_polygon_tr_South_America,3
enviro_mgs_polygon_tr_Northern_America,3
enviro_mgs_polygon_tr_Africa,3
enviro_mgs_polygon_tr_South-Eastern_Asia,3
enviro_mgs_polygon_tr_Arab,3
enviro_mgs_polygon_tr_Asia,3
enviro_mgs_polygon_tr_Central_America,3
enviro_mgs_polygon_tr_Australia_and_New_Zealand,3
enviro_temperature.seasonality_polygon_tr_Western_Africa,3
enviro_temperature.seasonality_polygon_tr_Oceania,3
enviro_temperature.seasonality_polygon_tr_Europe,3
enviro_temperature.seasonality_polygon_tr_Southern_Asia,3
enviro_temperature.seasonality_polygon_tr_South_America,3
enviro_temperature.seasonality_polygon_tr_Northern_America,3
enviro_temperature.seasonality_polygon_tr_Africa,3
enviro_temperature.seasonality_polygon_tr_South-Eastern_Asia,3
enviro_temperature.seasonality_polygon_tr_Arab,3
enviro_temperature.seasonality_polygon_tr_Asia,3
enviro_temperature.seasonality_polygon_tr_Central_America,3
enviro_temperature.seasonality_polygon_tr_Australia_and_New_Zealand,3
enviro_precipitation.seasonality_polygon_tr_Western_Africa,3
enviro_precipitation.seasonality_polygon_tr_Oceania,3
enviro_precipitation.seasonality_polygon_tr_Europe,3
enviro_precipitation.seasonality_polygon_tr_Southern_Asia,3
enviro_precipitation.seasonality_polygon_tr_South_America,3
enviro_precipitation.seasonality_polygon_tr_Northern_America,3
enviro_precipitation.seasonality_polygon_tr_Africa,3
enviro_precipitation.seasonality_polygon_tr_South-Eastern_Asia,3
enviro_precipitation.seasonality_polygon_tr_Arab,3
enviro_precipitation.seasonality_polygon_tr_Asia,3
enviro_precipitation.seasonality_polygon_tr_Central_America,3
enviro_precipitation.seasonality_polygon_tr_Australia_and_New_Zealand,3
div_language.richness_nb_tr_Western_Africa,22
div_language.richness_nb_tr_Oceania,22
div_language.richness_nb_tr_Europe,22
div_language.richness_nb_tr_Southern_Asia,22
div_language.richness_nb_tr_South_America,22
div_language.richness_nb_tr_Northern_America,22
div_language.richness_nb_tr_Africa,22
div_language.richness_nb_tr_South-Eastern_Asia,22
div_language.richness_nb_tr_Arab,22
div_language.richness_nb_tr_Asia,22
div_language.richness_nb_tr_Central_America,22
div_language.richness_nb_tr_Australia_and_New_Zealand,22
div_threatened.languages_nb_tr_Western_Africa,22
div_threatened.languages_nb_tr_Oceania,22
div_threatened.languages_nb_tr_Europe,22
div_threatened.languages_nb_tr_Southern_Asia,22
div_threatened.languages_nb_tr_South_America,22
div_threatened.languages_nb_tr_Northern_America,22
div_threatened.languages_nb_tr_Africa,22
div_threatened.languages_nb_tr_South-Eastern_Asia,22
div_threatened.languages_nb_tr_Arab,22
