"","ISO","Language.Name","Altitude","Area","Bordering.languages","Bordering.languages.km","Extended","L1.pop","Polysynthetic","Roughness","Small.family","Vehicularity"
"142","ail","Aimele",1211.538951,852.2855081,4,0.026837937,0,140,0,5.08873256,0,0
"143","aim","Aimol",1216.67041,236.9946972,4,0.058618011,0,2640,0,6.178402901,0,0
"144","ain","Hokkaido Ainu",639.7263794,102797.2807,2,0.00041,1,25,1,5.966615677,1,0
"145","aio","Aiton",1783.800964,936.5339734,1,0.0090202,0,1500,0,6.549396992,0,0
"146","aip","Burumakok",1920.527695,237.4597614,4,0.058167518,0,40,0,5.931137681,0,0
"147","aiq","Aimaq",2010.464722,33102.01357,5,0.006123072,0,480000,0,6.582940578,0,0
"148","air","Airoran",573.8927612,1143.558199,6,0.041724679,0,1000,0,5.544532776,0,0
"149","ait","Arikem",100.0138206,14956.04057,2,0.003254442,1,0,0,3.440206289,0,0
"150","aiw","Aari",1286.789124,2948.275965,7,0.028915868,0,235000,0,6.565350771,0,0
"151","aix","Aighon",490.2012634,2434.615765,2,0.009708997,0,2000,0,6.238593578,0,0
"152","aiy","Ali",222.5043831,4102.232539,7,0.016808124,0,35000,0,4.501657248,0,0
"153","aja","Aja (Sudan)",259.4382782,222.9366369,3,0.045282089,0,200,0,4.443122705,1,0
"154","ajg","Aja (Benin)",338.9494247,4450.710357,10,0.028891887,0,512500,0,4.765662193,0,0
"155","aji","Ajië",232.1738453,1795.668035,6,0.022808558,0,5360,0,5.405962944,0,0
"156","aju","Judeo-Moroccan Arabic",974.8968658,186.1824089,1,0.017355592,0,8930,0,5.955520272,0,0
"157","ajw","Ajawa",819.1970825,69.20658491,0,0,0,0,0,5.055850029,0,0
"158","ajz","Amri Karbi",2148.668091,3710.963209,5,0.013820539,0,125000,0,6.511569738,0,0
"159","aka","Akan",266.1520844,57389.32124,21,0.009743047,0,8300000,0,4.694676161,0,1
"160","akb","Batak Angkola",1020.377136,12406.80622,4,0.008583654,0,750000,0,5.713979721,0,0
"161","akc","Mpur",670.0216293,2151.735936,4,0.021363747,0,7000,0,6.307080388,1,0
"162","akd","Ukpet-Ehom",370.4517517,293.0080719,8,0.108645438,0,11400,0,4.67139864,0,0
"163","ake","Akawaio",619.0234528,24048.78635,5,0.004610168,0,5350,0,5.369187593,0,0
"164","akf","Akpa",327.2538757,603.2112401,4,0.038764431,0,26900,0,4.811378479,0,0
"165","akg","Anakalangu",424.5678101,609.2400885,4,0.031415897,0,16000,0,6.029537201,0,0
"166","akh","Angal Heneng",1706.546753,456.7104384,3,0.033188149,0,40000,0,5.994637489,0,0
"167","aki","Aiome",2487.246094,225.3699941,8,0.114161917,0,750,0,6.933227539,0,0
"168","akj","Akajeru",76.31477737,582.0963039,2,0.019108029,0,0,0,4.28423357,0,0
"169","akl","Aklanon",419.8288918,2005.725764,4,0.014197217,0,435000,0,5.848471403,0,0
"170","akm","Akabo",75.4839859,216.5586456,2,0.021346617,0,0,0,4.28423357,0,0
"171","ako","Akurio",196.0343628,62.82573077,2,0.061740973,1,10,0,4.540175438,0,0
"172","akp","Siwu",461.5729065,192.4649002,6,0.085514963,0,27000,0,5.104887962,0,0
"173","akq","Ak",798.9605103,45.43045574,0,0,0,75,0,5.861983538,0,0
"174","akr","Araki",205.1739502,2.386607323,1,0.16800921,0,8,0,5.786854148,0,0
"175","aks","Akaselem",246.9960098,935.7624523,7,0.04139245,0,47500,0,4.595091581,0,0
"176","akt","Akolet",576.4456024,143.1208419,3,0.020743426,0,950,0,6.238593578,0,0
"177","aku","Akum",882.7237549,82.2132964,2,0.047916251,0,1400,0,5.439715385,0,0
"178","akv","Akhvakh",1693.179962,4226.911021,4,0.009512774,0,210,0,6.841210961,0,0
"179","akw","Akwa",222.7364197,6158.316954,2,0.003657877,0,24100,0,4.075862408,0,0
"180","akx","Akakede",75.4839859,398.121182,4,0.031683502,0,0,0,4.28423357,0,0
"181","aky","Akakol",75.4839859,143.859904,2,0.031909951,0,0,0,4.28423357,0,0
"182","akz","Alabama",100.1488571,140.2752817,2,0.036776328,1,250,0,3.535167456,0,0
"183","ala","Alago",694.4057515,1037.938833,3,0.013760673,0,35100,0,5.227744102,0,0
"184","alc","Qawasqar",449.6850586,531.6870108,0,0,0,12,0,6.020493984,1,0
"185","ald","Alladian",170.2126007,611.3754486,5,0.025413918,0,23000,0,4.189496994,0,0
"186","ale","Aleut",67.89827728,2894.150387,2,0.001437399,1,500,1,4.833440781,0,0
"187","alf","Alege",727.786972,60.03367984,5,0.148638617,0,16300,0,5.333243728,0,0
"188","alh","Alawa",177.4566803,20722.29625,5,0.008868065,0,12,0,4.077211022,0,0
"189","ali","Amaimon",2141.664124,408.415336,7,0.068099562,0,1780,0,7.110357523,0,0
"190","alj","Alangan",355.4742889,1172.535688,5,0.036102884,0,7690,0,5.609926224,0,0
"191","alk","Alak",609.1291428,108.7296886,4,0.097485903,0,4000,0,5.410788655,0,0
"192","all","Allar",859.1639404,102.0158037,1,0.027175246,0,350,0,6.48571682,0,0
"193","alm","Amblong",205.1739502,75.17402205,6,0.120686915,0,300,0,5.786854148,0,0
"194","aln","Gheg Albanian",1458.233765,28432.34014,7,0.005353341,0,6678000,0,6.576565266,0,0
"195","alo","Larike-Wakasihu",684.2754669,52.80567675,1,0.029520664,0,12600,0,6.42774415,0,0
"196","alp","Alune",429.3963165,1289.811674,5,0.025167861,0,17200,0,5.992523909,0,0
"197","alq","Algonquin",237.2468567,1866.390058,2,0.003686749,1,1760,1,4.363453865,0,0
"198","alr","Alutor",335.2675338,4692.893144,2,0.002111363,1,25,1,5.460723877,0,0
"199","als","Northern Tosk Albanian",904.9102936,14551.06224,4,0.004118319,0,1580000,0,6.24016571,0,1
"200","alt","Southern Altai",1510.772583,48579.7353,2,0.00106743,0,57400,0,6.118729234,0,1
"201","alu","'Are'are",447.8432312,1463.076688,5,0.010140933,0,17900,0,5.977975368,0,0
"202","alw","Alaba-K'abeena",1278.113525,2005.299623,8,0.023166633,0,287000,0,6.687742472,0,0
"203","alx","Mol",798.9605103,14.61980362,4,0.240052799,0,270,0,5.861983538,0,0
